a p ford tiempo
0 0.0 2 0.00620746560207408
1 0.0 2 0.006255774099827249
2 0.0 2 0.005378816194934188
3 0.0 2 0.005569581867348461
4 0.0 2 0.005986374887925194
5 0.0 2 0.006099917487517814
6 0.0 2 0.0053939787162562425
7 0.0 2 0.004994111300220538
8 0.0 2 0.005900689013287774
9 0.0 2 0.00452089959571822
10 0.0 2 0.004750453112592368
11 0.0 1 0.004668646022309986
12 0.0 1 0.004632326494629524
13 0.0 1 0.0036622777633965597
14 0.0 1 0.0036717984157803585
15 0.0 1 0.0037211647636468115
16 0.0 1 0.004039225089400134
17 0.0 1 0.003953891831315559
18 0.0 1 0.004633384345197555
19 0.0 1 0.005842507246597961
20 0.0 1 0.0059264300375616585
21 0.0 1 0.0035818811397803074
22 0.0 1 0.003379126497748075
23 0.0 1 0.0033565590247235377
24 0.0 1 0.0017084282458199596
25 0.0 1 0.0016982023598757223
26 0.0 0 0.0016276790056508617
0 0.0 2 0.0039394345435539435
1 0.0 2 0.003921451088444883
2 0.0 2 0.004226817210565059
3 0.0 2 0.003888657729021361
4 0.0 2 0.003872084741033177
5 0.0 2 0.003851280351227615
6 0.0 1 0.0055642926154177985
7 0.0 1 0.006564666389294871
8 0.0 1 0.005807598186038376
9 0.0 1 0.0037201069135335274
10 0.0 1 0.0037017708414168737
11 0.0 1 0.003767710176816763
12 0.0 1 0.003805792788625695
13 0.0 1 0.0037624209257955954
14 0.0 1 0.003745142703792226
15 0.0 1 0.0036897818713441666
16 0.0 1 0.00368343476930022
17 0.0 1 0.006378837351803668
18 0.0 1 0.006337581190109631
19 0.0 1 0.0031883608253338025
20 0.0 1 0.0019231718583796464
21 0.0 1 0.0019065988699367153
22 0.0 1 0.0018977834511133551
23 0.0 1 0.0018339598154852865
24 0.0 1 0.0018240865465486422
25 0.0 1 0.0017789516000448202
26 0.0 1 0.0017690783301986812
27 0.0 1 0.0017595576773601351
28 0.0 1 0.002878058068745304
29 0.0 1 0.0030124050576887385
30 0.0 1 0.0029986530039423087
31 0.0 1 0.0029810221653860935
32 0.0 1 0.0029669174950868182
33 0.0 1 0.0022176068605404
34 0.0 1 0.0017056073115782056
35 0.0 1 0.0016929131083998072
36 0.0 1 0.0016802189043119142
37 0.0 1 0.0016562409641665
38 0.0 1 0.0017620259950490436
39 0.0 1 0.0016876238564691448
40 0.0 1 0.0016759875029492832
41 0.0 1 0.0016685825512468
42 0.0 1 0.002446455143399362
43 0.0 1 0.002734895660978509
44 0.0 1 0.00271620697230901
45 0.0 1 0.0027091546362498775
46 0.0 1 0.0026862345466724946
47 0.0 1 0.0026721298754637246
48 0.0 1 0.002646036235091742
49 0.0 1 0.0026372208158136345
50 0.0 1 0.002618884743696981
51 0.0 1 0.002601959138701204
52 0.0 1 0.0025264991504627687
53 0.0 1 0.0025617608271204517
